UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,machine_id,timestamp,operator_id,material_lot
1,L00001,L,297.8,308.1,1661,48.8,2,0,0,0,0,0,0,LINE3-M01,2026-06-01T06:00:00,OP-100,MAT-8808
2,L00002,L,300.5,310.6,1735,53.5,4,1,0,0,1,0,0,LINE1-M02,2026-06-01T06:06:00,OP-100,MAT-8800
3,M00003,M,299.1,308.4,1262,20.5,7,1,0,0,1,0,0,LINE3-M02,2026-06-01T06:11:00,OP-100,MAT-8805
4,H00004,H,302.3,312.2,1692,57.6,12,1,0,0,1,0,0,LINE2-M02,2026-06-01T06:13:00,OP-109,MAT-8808
5,H00005,H,298.8,308.5,1285,60.2,17,0,0,0,0,0,0,LINE3-M01,2026-06-01T06:17:00,OP-111,MAT-8802
6,H00006,H,299.2,308.0,1686,31.5,22,0,0,0,0,0,0,LINE1-M02,2026-06-01T06:20:00,OP-104,MAT-8814
7,M00007,M,300.4,311.3,1375,25.2,25,0,0,0,0,0,0,LINE3-M01,2026-06-01T06:24:00,OP-109,MAT-8805
8,M00008,M,300.2,310.6,1301,31.1,28,0,0,0,0,0,0,LINE1-M02,2026-06-01T06:30:00,OP-100,MAT-8807
9,H00009,H,298.6,309.2,1613,48.4,33,0,0,0,0,0,0,LINE3-M02,2026-06-01T06:36:00,OP-103,MAT-8815
10,H00010,H,301.3,311.5,1459,52.0,38,0,0,0,0,0,0,LINE1-M02,2026-06-01T06:39:00,OP-111,MAT-8818
11,L00011,L,302.4,311.5,1618,42.0,40,0,0,0,0,0,0,LINE3-M02,2026-06-01T06:42:00,OP-101,MAT-8801
12,H00012,H,300.9,311.6,1270,33.4,45,0,0,0,0,0,0,LINE1-M02,2026-06-01T06:48:00,OP-106,MAT-8819
13,L00013,L,300.2,309.9,1533,19.9,47,1,0,0,1,0,0,LINE3-M01,2026-06-01T06:50:00,OP-110,MAT-8817
14,M00014,M,303.2,314.0,1658,47.7,50,0,0,0,0,0,0,LINE1-M01,2026-06-01T06:56:00,OP-110,MAT-8809
15,H00015,H,298.9,309.4,1532,49.4,55,0,0,0,0,0,0,LINE3-M01,2026-06-01T06:59:00,OP-109,MAT-8810
16,L00016,L,299.5,310.0,1301,31.4,57,0,0,0,0,0,0,LINE1-M01,2026-06-01T07:03:00,OP-103,MAT-8818
17,L00017,L,299.2,308.9,1615,37.4,59,0,0,0,0,0,0,LINE1-M01,2026-06-01T07:09:00,OP-110,MAT-8815
18,M00018,M,298.7,308.6,1262,33.7,62,0,0,0,0,0,0,LINE3-M01,2026-06-01T07:12:00,OP-111,MAT-8809
19,L00019,L,300.1,312.6,1537,42.7,64,0,0,0,0,0,0,LINE2-M01,2026-06-01T07:18:00,OP-103,MAT-8807
20,L00020,L,304.3,315.5,1326,34.5,66,0,0,0,0,0,0,LINE1-M01,2026-06-01T07:21:00,OP-111,MAT-8801
21,L00021,L,302.8,314.2,1307,42.3,68,0,0,0,0,0,0,LINE1-M02,2026-06-01T07:27:00,OP-110,MAT-8815
22,M00022,M,301.6,312.0,1352,34.4,71,0,0,0,0,0,0,LINE2-M01,2026-06-01T07:33:00,OP-107,MAT-8813
