UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],machine_id,timestamp,operator_id,material_lot
8001,H08001,H,298.7,309.4,1474,40.4,5,LINE2-M02,2026-07-29T06:00:00,OP-110,MAT-8800
8002,H08002,H,303.1,312.9,1552,42.3,10,LINE2-M02,2026-07-29T06:04:00,OP-106,MAT-8818
8003,M08003,M,300.9,310.3,1413,19.8,13,LINE1-M02,2026-07-29T06:09:00,OP-101,MAT-8804
8004,H08004,H,299.3,309.9,1423,42.9,18,LINE3-M01,2026-07-29T06:13:00,OP-100,MAT-8811
8005,L08005,L,304.0,313.9,1583,51.4,20,LINE3-M01,2026-07-29T06:15:00,OP-103,MAT-8816
8006,M08006,M,300.1,310.2,1839,27.8,23,LINE2-M01,2026-07-29T06:18:00,OP-100,MAT-8809
8007,L08007,L,302.4,310.5,1876,53.2,25,LINE3-M01,2026-07-29T06:23:00,OP-100,MAT-8814
8008,H08008,H,296.7,306.1,1535,54.0,30,LINE2-M01,2026-07-29T06:25:00,OP-106,MAT-8813
8009,H08009,H,296.7,305.9,1607,36.2,35,LINE3-M01,2026-07-29T06:31:00,OP-100,MAT-8802
8010,H08010,H,295.9,303.9,1236,49.4,40,LINE3-M02,2026-07-29T06:36:00,OP-102,MAT-8813
8011,H08011,H,299.2,310.1,1514,40.6,45,LINE3-M02,2026-07-29T06:40:00,OP-105,MAT-8814
8012,M08012,M,299.7,308.3,1448,45.6,48,LINE3-M02,2026-07-29T06:42:00,OP-110,MAT-8803
8013,M08013,M,301.0,313.5,1375,42.6,51,LINE3-M01,2026-07-29T06:45:00,OP-102,MAT-8812
8014,M08014,M,300.9,311.5,1275,50.0,54,LINE3-M02,2026-07-29T06:47:00,OP-107,MAT-8815
8015,L08015,L,300.5,311.0,1276,27.0,56,LINE3-M01,2026-07-29T06:49:00,OP-104,MAT-8813
8016,M08016,M,301.6,312.3,1535,41.1,59,LINE1-M01,2026-07-29T06:51:00,OP-106,MAT-8806
8017,H08017,H,300.4,311.2,2262,17.2,64,LINE3-M02,2026-07-29T06:54:00,OP-109,MAT-8816
8018,M08018,M,300.0,311.8,1353,55.1,67,LINE2-M01,2026-07-29T06:58:00,OP-111,MAT-8801
