UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,machine_id,timestamp,operator_id,material_lot,ground_truth_label,failure_modes
8001,H08001,H,298.7,309.4,1474,40.4,5,0,0,0,0,0,0,LINE2-M02,2026-07-29T06:00:00,OP-110,MAT-8800,NORMAL,
8002,H08002,H,303.1,312.9,1552,42.3,10,0,0,0,0,0,0,LINE2-M02,2026-07-29T06:04:00,OP-106,MAT-8818,NORMAL,
8003,M08003,M,300.9,310.3,1413,19.8,13,1,0,0,1,0,0,LINE1-M02,2026-07-29T06:09:00,OP-101,MAT-8804,FAILURE,PWF
8004,H08004,H,299.3,309.9,1423,42.9,18,0,0,0,0,0,0,LINE3-M01,2026-07-29T06:13:00,OP-100,MAT-8811,NORMAL,
8005,L08005,L,304.0,313.9,1583,51.4,20,0,0,0,0,0,0,LINE3-M01,2026-07-29T06:15:00,OP-103,MAT-8816,NORMAL,
8006,M08006,M,300.1,310.2,1839,27.8,23,0,0,0,0,0,0,LINE2-M01,2026-07-29T06:18:00,OP-100,MAT-8809,NORMAL,
8007,L08007,L,302.4,310.5,1876,53.2,25,1,0,0,1,0,0,LINE3-M01,2026-07-29T06:23:00,OP-100,MAT-8814,FAILURE,PWF
8008,H08008,H,296.7,306.1,1535,54.0,30,0,0,0,0,0,0,LINE2-M01,2026-07-29T06:25:00,OP-106,MAT-8813,NORMAL,
8009,H08009,H,296.7,305.9,1607,36.2,35,0,0,0,0,0,0,LINE3-M01,2026-07-29T06:31:00,OP-100,MAT-8802,NORMAL,
8010,H08010,H,295.9,303.9,1236,49.4,40,1,0,1,0,0,0,LINE3-M02,2026-07-29T06:36:00,OP-102,MAT-8813,FAILURE,HDF
8011,H08011,H,299.2,310.1,1514,40.6,45,0,0,0,0,0,0,LINE3-M02,2026-07-29T06:40:00,OP-105,MAT-8814,NORMAL,
8012,M08012,M,299.7,308.3,1448,45.6,48,0,0,0,0,0,0,LINE3-M02,2026-07-29T06:42:00,OP-110,MAT-8803,NORMAL,
8013,M08013,M,301.0,313.5,1375,42.6,51,0,0,0,0,0,0,LINE3-M01,2026-07-29T06:45:00,OP-102,MAT-8812,NORMAL,
8014,M08014,M,300.9,311.5,1275,50.0,54,0,0,0,0,0,0,LINE3-M02,2026-07-29T06:47:00,OP-107,MAT-8815,NORMAL,
8015,L08015,L,300.5,311.0,1276,27.0,56,0,0,0,0,0,0,LINE3-M01,2026-07-29T06:49:00,OP-104,MAT-8813,NORMAL,
8016,M08016,M,301.6,312.3,1535,41.1,59,0,0,0,0,0,0,LINE1-M01,2026-07-29T06:51:00,OP-106,MAT-8806,NORMAL,
8017,H08017,H,300.4,311.2,2262,17.2,64,0,0,0,0,0,0,LINE3-M02,2026-07-29T06:54:00,OP-109,MAT-8816,NORMAL,
8018,M08018,M,300.0,311.8,1353,55.1,67,0,0,0,0,0,0,LINE2-M01,2026-07-29T06:58:00,OP-111,MAT-8801,NORMAL,
8019,L08019,L,305.8,316.3,1690,41.0,69,0,0,0,0,0,0,LINE2-M02,2026-07-29T07:03:00,OP-105,MAT-8802,NORMAL,
8020,L08020,L,298.6,309.2,1168,46.5,71,0,0,0,0,0,0,LINE1-M01,2026-07-29T07:08:00,OP-109,MAT-8805,NORMAL,
8021,M08021,M,302.4,312.3,1326,44.6,74,0,0,0,0,0,0,LINE3-M01,2026-07-29T07:11:00,OP-109,MAT-8814,NORMAL,
8022,H08022,H,300.4,309.6,1168,43.4,79,0,0,0,0,0,0,LINE3-M01,2026-07-29T07:17:00,OP-103,MAT-8812,NORMAL,
